classification,Harmless,Malicious,Suspicious
unknown,60,5,3
benign,66,1,0
malicious,62,4,1
malicious,59,10,2
malicious,61,6,0
malicious,57,10,0
benign,61,3,3
unknown,61,5,0
unknown,57,12,0
unknown,61,5,1
malicious,64,2,0
malicious,59,6,2
benign,56,13,0
benign,61,5,0
malicious,65,1,0
unknown,0,0,0
malicious,60,9,1
unknown,60,6,0
malicious,61,4,0
malicious,57,8,0
benign,57,12,0
unknown,0,0,0
unknown,0,0,0
malicious,63,1,0
malicious,63,1,0
malicious,0,0,0
benign,59,8,0
benign,57,11,1
benign,59,6,1
malicious,56,11,1
malicious,0,0,0
unknown,64,2,0
malicious,64,1,0
malicious,56,11,0
malicious,62,5,1
benign,55,12,0
malicious,64,2,0
malicious,63,2,0
malicious,63,6,1
benign,54,13,0
malicious,64,1,0
malicious,60,5,1
malicious,61,6,1
benign,61,6,1
malicious,60,10,1
malicious,65,1,0
malicious,56,10,2
malicious,61,6,1
malicious,60,9,0
benign,58,9,0
unknown,0,0,0
benign,56,13,0
malicious,57,12,0
malicious,0,0,0
benign,65,1,1
malicious,53,16,0
unknown,0,0,0
malicious,0,0,0
benign,61,4,3
malicious,63,2,0
malicious,56,10,2
benign,66,0,1
benign,54,13,0
benign,54,13,1
malicious,63,4,1
benign,60,5,2
unknown,0,0,0
unknown,58,0,0
malicious,55,12,0
malicious,59,5,1
malicious,56,10,0
benign,56,10,1
malicious,55,11,2
unknown,61,5,2
malicious,63,3,2
benign,54,13,1
malicious,62,5,2
benign,52,14,1
benign,56,10,0
malicious,63,1,0
malicious,55,10,2
benign,58,10,1
benign,55,11,1
benign,58,8,2
benign,55,11,1
benign,55,12,2
malicious,0,0,0
malicious,55,11,2
benign,54,11,1
malicious,62,1,0
malicious,61,1,0
unknown,61,5,2
malicious,63,3,3
malicious,58,9,1
malicious,57,9,0
malicious,63,3,2
malicious,51,19,2
benign,66,1,0
malicious,62,2,0
benign,54,13,1
unknown,61,3,1
malicious,65,1,0
malicious,60,5,0
unknown,62,3,0
malicious,58,11,1
benign,57,11,0
benign,61,6,0
benign,58,10,0
benign,53,13,0
malicious,63,1,0
malicious,58,8,2
malicious,64,1,0
benign,54,12,1
benign,57,12,0
benign,60,6,0
malicious,59,5,1
malicious,61,5,0
malicious,0,0,0
malicious,64,1,0
malicious,63,5,2
malicious,0,0,0
malicious,57,11,1
malicious,59,9,0
malicious,63,4,0
benign,54,11,2
malicious,55,15,0
malicious,54,11,2
malicious,57,10,0
malicious,56,13,0
malicious,63,4,1
malicious,64,0,0
malicious,54,13,1
unknown,55,13,1
benign,57,12,0
malicious,64,2,0
unknown,56,13,1
benign,55,13,1
benign,59,9,1
malicious,50,20,0
benign,56,8,0
benign,58,8,1
malicious,55,15,0
benign,60,8,1
unknown,61,7,1
malicious,61,4,0
benign,54,14,0
malicious,65,1,0
malicious,54,13,0
malicious,61,6,0
malicious,59,9,1
malicious,59,8,0
benign,60,8,0
malicious,55,15,0
unknown,0,0,0
benign,53,13,1
malicious,61,4,2
benign,55,12,0
malicious,65,3,0
malicious,59,10,0
unknown,0,0,0
malicious,64,2,0
benign,56,13,0
malicious,54,11,2
unknown,61,4,2
benign,58,9,0
malicious,66,1,0
malicious,60,9,0
unknown,0,0,0
malicious,62,6,0
malicious,61,4,1
benign,55,14,0
malicious,59,9,0
malicious,0,0,0
benign,57,9,2
benign,61,5,0
unknown,0,0,0
malicious,0,0,0
malicious,55,11,1
malicious,64,0,1
malicious,64,1,0
benign,53,13,1
unknown,0,0,0
unknown,0,0,0
benign,54,13,1
unknown,0,0,0
unknown,62,1,0
malicious,61,6,0
malicious,61,5,2
benign,56,13,0
benign,53,15,1
unknown,0,0,0
malicious,62,6,0
malicious,63,1,0
benign,65,3,1
malicious,62,4,1
malicious,61,4,1
malicious,62,1,0
benign,57,10,1
malicious,0,0,0
unknown,64,1,0
malicious,64,4,1
benign,55,14,0
benign,63,6,2
malicious,63,3,1
malicious,60,7,1
malicious,61,4,1
unknown,57,9,1
benign,57,10,0
benign,54,12,1
malicious,54,13,3
benign,59,10,0
malicious,62,2,0
malicious,56,11,2
malicious,59,10,1
malicious,61,5,1
benign,0,0,0
benign,53,13,3
malicious,57,12,0
benign,66,0,1
benign,56,12,0
malicious,65,1,0
benign,54,12,0
benign,55,13,1
unknown,0,0,0
benign,57,10,1
benign,59,9,1
malicious,63,1,0
malicious,0,0,0
malicious,60,5,1
malicious,66,1,1
malicious,60,8,1
benign,53,12,1
benign,53,14,0
unknown,0,0,0
malicious,61,4,2
unknown,0,0,0
malicious,65,2,2
malicious,52,17,0
malicious,65,1,0
malicious,62,5,0
benign,55,12,0
unknown,59,7,1
malicious,64,1,0
malicious,62,1,0
unknown,62,5,0
malicious,54,14,0
malicious,63,5,0
malicious,63,2,1
benign,57,11,0
malicious,64,0,0
unknown,0,0,0
malicious,61,5,0
malicious,61,6,0
benign,59,10,1
malicious,63,4,0
unknown,0,0,0
unknown,61,3,1
unknown,55,10,1
benign,55,13,1
unknown,62,1,0
malicious,64,4,0
malicious,63,2,0
malicious,60,6,0
benign,62,5,0
malicious,64,1,1
malicious,65,1,0
unknown,64,1,1
malicious,55,11,0
unknown,0,0,0
malicious,65,0,0
malicious,57,8,2
benign,56,13,1
malicious,63,2,1
malicious,62,6,0
malicious,60,8,0
benign,57,10,0
malicious,64,0,0
malicious,61,7,0
malicious,52,16,0
benign,61,6,0
malicious,64,2,0
benign,55,10,1
malicious,64,2,0
malicious,62,3,0
benign,54,15,1
unknown,0,0,0
malicious,62,4,0
malicious,61,5,1
malicious,56,13,0
malicious,63,2,1
unknown,0,0,0
malicious,53,13,0
malicious,60,8,0
benign,65,1,0
malicious,62,6,0
malicious,64,1,0
malicious,62,5,1
malicious,62,6,0
malicious,61,8,0
malicious,62,5,1
malicious,63,1,0
malicious,64,1,0
benign,57,11,2
malicious,62,1,0
malicious,62,6,0
malicious,53,15,1
malicious,61,5,1
benign,55,12,2
benign,55,11,0
benign,53,14,1
malicious,64,0,0
malicious,55,12,0
malicious,58,6,2
malicious,0,0,0
benign,56,11,0
unknown,59,6,0
unknown,0,0,0
malicious,65,1,0
malicious,57,8,1
malicious,56,13,1
benign,61,8,1
benign,62,6,1
unknown,0,0,0
unknown,59,5,2
benign,56,12,0
malicious,47,23,2
benign,57,11,1
malicious,62,4,0
unknown,0,0,0
benign,54,13,0
malicious,0,0,0
malicious,61,5,1
benign,62,5,0
malicious,61,5,1
malicious,62,4,1
malicious,59,8,0
malicious,0,0,0
malicious,64,1,0
malicious,64,1,2
malicious,55,13,0
malicious,61,7,0
unknown,64,1,0
malicious,57,10,1
malicious,64,2,0
benign,55,12,2
malicious,0,0,0
malicious,61,6,1
benign,53,13,1
malicious,63,1,0
benign,57,11,0
unknown,0,0,0
malicious,0,0,0
malicious,56,13,0
malicious,57,9,0
malicious,59,10,1
malicious,58,8,0
malicious,57,9,0
benign,54,13,0
malicious,56,11,0
unknown,0,0,0
malicious,60,8,0
malicious,62,2,0
malicious,63,5,0
benign,59,9,1
malicious,51,16,1
malicious,53,13,2
malicious,60,5,1
benign,59,8,1
benign,59,8,0
benign,56,12,1
benign,58,12,0
malicious,61,6,0
benign,57,9,2
malicious,59,8,1
malicious,63,5,0
malicious,0,0,0
unknown,0,0,0
malicious,65,1,0
benign,55,10,1
malicious,61,6,2
benign,52,16,1
benign,55,12,1
benign,55,12,0
unknown,59,6,1
unknown,61,4,0
malicious,55,9,1
malicious,64,1,0
benign,60,6,0
malicious,60,6,0
benign,66,0,1
benign,56,10,0
unknown,0,0,0
malicious,59,9,0
unknown,0,0,0
malicious,63,1,1
malicious,59,6,2
malicious,59,8,0
unknown,59,5,2
benign,54,14,1
benign,56,11,1
malicious,0,0,0
malicious,55,13,1
benign,56,12,1
malicious,60,6,1
malicious,61,5,2
unknown,0,0,0
benign,55,13,1
unknown,62,0,0
malicious,51,16,1
benign,54,12,0
malicious,63,2,0
malicious,57,10,2
malicious,54,17,1
malicious,62,1,0
malicious,63,4,1
malicious,64,1,0
malicious,63,3,0
malicious,63,2,0
malicious,58,8,1
malicious,53,16,1
benign,55,11,1
benign,57,12,0
malicious,54,15,2
malicious,0,0,0
benign,62,5,0
malicious,61,6,0
malicious,64,2,0
malicious,63,2,0
malicious,60,9,1
benign,56,13,0
benign,58,10,0
unknown,59,5,1
malicious,61,4,2
malicious,65,1,0
malicious,64,2,1
malicious,59,8,0
malicious,58,6,1
unknown,62,1,0
malicious,55,13,1
malicious,62,4,1
malicious,59,6,1
unknown,0,0,0
benign,55,14,0
malicious,0,0,0
unknown,57,11,2
unknown,0,0,0
benign,55,12,0
unknown,63,0,0
malicious,63,3,2
malicious,55,11,0
malicious,60,6,1
malicious,63,1,0
malicious,54,14,0
malicious,0,0,0
benign,57,9,1
malicious,54,11,2
malicious,55,11,0
benign,63,5,0
malicious,60,6,0
malicious,55,13,0
malicious,63,6,1
malicious,61,5,1
unknown,57,10,1
malicious,64,1,0
malicious,62,6,0
malicious,55,14,0
malicious,62,2,0
benign,59,6,1
malicious,60,7,0
benign,55,13,0
malicious,59,9,0
malicious,62,2,0
malicious,65,1,0
unknown,62,4,0
benign,63,4,0
benign,56,12,0
malicious,59,9,0
unknown,56,10,2
benign,59,10,1
benign,60,6,0
benign,64,3,0
malicious,57,9,1
malicious,0,0,0
unknown,55,11,3
malicious,63,4,1
malicious,64,3,1
unknown,64,1,0
unknown,60,4,0
malicious,0,0,0
malicious,60,5,1
malicious,61,5,1
malicious,0,0,0
malicious,58,8,0
benign,58,7,1
unknown,48,0,0
benign,59,9,0
benign,58,8,1
benign,54,12,1
malicious,65,0,1
malicious,59,8,0
malicious,62,4,1
malicious,58,9,0
malicious,56,12,1
unknown,0,0,0
unknown,62,4,1
benign,53,13,2
malicious,62,4,0
malicious,58,9,0
benign,58,10,0
unknown,62,2,0
malicious,58,8,0
benign,54,12,1
malicious,62,1,0
malicious,63,4,2
benign,63,1,0
malicious,63,2,0
benign,55,12,2
benign,54,12,1
unknown,63,3,2
malicious,60,4,1
unknown,60,4,1
malicious,60,4,3
benign,57,11,0
malicious,62,6,1
malicious,64,2,0
malicious,0,0,0
malicious,55,15,0
benign,57,10,0
benign,61,4,1
benign,58,9,0
benign,60,8,1
malicious,56,12,1
malicious,54,14,1
malicious,59,9,1
malicious,60,9,0
benign,57,10,0
benign,58,10,1
unknown,0,0,0
benign,55,12,0
benign,59,8,1
benign,58,8,1
malicious,61,3,0
malicious,64,1,0
benign,55,12,0
benign,55,11,1
malicious,63,3,1
malicious,61,6,0
benign,56,11,1
unknown,62,1,0
unknown,0,0,0
benign,54,12,2
malicious,62,6,0
benign,62,5,0
benign,54,13,1
malicious,0,0,0
malicious,0,0,0
malicious,63,1,0
malicious,0,0,0
malicious,64,3,0
malicious,63,4,2
malicious,61,6,1
unknown,47,0,0
malicious,64,2,0
malicious,65,1,1
benign,58,7,1
benign,56,10,1
malicious,0,0,0
benign,55,13,0
benign,60,8,0
unknown,0,0,0
benign,56,12,1
benign,55,12,0
unknown,0,0,0
benign,55,12,1
malicious,60,4,1
malicious,56,10,0
malicious,57,11,0
malicious,64,2,0
benign,58,9,1
unknown,52,18,2
malicious,59,9,0
unknown,0,0,0
benign,58,8,0
unknown,0,0,0
unknown,0,0,0
benign,62,5,1
malicious,55,11,2
malicious,58,6,2
unknown,0,0,0
malicious,0,0,0
malicious,54,15,0
benign,61,6,0
unknown,0,0,0
malicious,0,0,0
malicious,60,6,0
malicious,61,5,0
malicious,58,10,0
unknown,63,1,0
malicious,65,4,0
benign,59,8,1
malicious,62,2,1
malicious,56,11,0
benign,62,6,0
malicious,60,10,1
benign,60,8,1
malicious,0,0,0
benign,54,12,1
malicious,63,2,0
malicious,64,1,1
unknown,0,0,0
malicious,60,6,1
benign,58,9,1
benign,57,8,2
malicious,61,7,1
unknown,60,8,1
benign,57,10,2
malicious,62,3,2
malicious,0,0,0
malicious,55,11,0
benign,55,12,0
malicious,62,5,0
benign,55,10,1
malicious,54,13,0
malicious,64,2,0
benign,55,11,1
malicious,59,6,0
malicious,63,1,0
malicious,56,12,0
malicious,58,9,0
malicious,62,0,0
benign,54,14,1
malicious,0,0,0
benign,58,7,0
benign,62,3,2
benign,56,13,0
benign,60,6,0
benign,53,15,0
malicious,64,1,0
unknown,61,4,3
malicious,62,1,1
benign,54,13,3
benign,56,11,0
malicious,62,1,0
malicious,62,7,1
unknown,0,0,0
malicious,58,5,3
unknown,60,5,1
benign,60,8,0
malicious,58,10,0
malicious,61,6,2
malicious,56,13,1
malicious,60,6,3
malicious,56,12,1
malicious,59,4,1
malicious,60,8,0
malicious,60,5,1
malicious,64,2,0
malicious,57,12,1
unknown,59,8,0
malicious,53,15,1
malicious,64,2,2
malicious,53,15,1
malicious,62,2,2
malicious,62,2,0
malicious,61,5,0
benign,53,14,1
malicious,61,5,2
benign,58,8,0
benign,59,8,1
malicious,61,8,1
unknown,0,0,0
benign,56,11,0
malicious,61,6,0
benign,55,12,1
malicious,64,2,0
unknown,0,0,0
benign,55,11,1
malicious,62,5,0
unknown,62,4,2
benign,57,10,0
benign,57,11,0
malicious,60,6,1
malicious,64,1,0
unknown,0,0,0
benign,59,6,2
benign,58,9,1
benign,55,12,1
malicious,64,0,1
malicious,55,13,0
benign,54,13,1
malicious,64,2,0
malicious,63,1,0
unknown,55,13,1
malicious,65,1,0
unknown,0,0,0
malicious,59,0,0
unknown,0,0,0
malicious,64,0,1
unknown,63,1,3
unknown,63,5,1
malicious,0,0,0
malicious,54,12,2
benign,56,13,0
malicious,61,4,1
unknown,0,0,0
benign,52,15,1
unknown,62,1,0
unknown,64,2,0
benign,53,12,2
malicious,0,0,0
benign,58,10,1
malicious,47,0,0
malicious,62,2,0
malicious,65,1,0
benign,55,12,1
malicious,64,0,0
malicious,59,7,0
benign,54,12,1
unknown,0,0,0
malicious,65,1,0
malicious,61,6,0
benign,61,6,0
benign,62,5,0
unknown,63,6,1
unknown,60,6,3
malicious,57,11,2
unknown,0,0,0
malicious,64,1,1
benign,58,6,0
malicious,62,6,0
unknown,0,0,0
malicious,58,10,0
malicious,64,2,0
benign,57,11,0
malicious,0,0,0
malicious,59,7,0
benign,60,8,0
malicious,0,0,0
unknown,61,5,0
benign,55,13,0
malicious,61,4,2
unknown,60,5,1
benign,61,4,1
malicious,60,8,0
benign,55,11,1
benign,62,5,0
malicious,64,1,0
malicious,53,14,0
benign,56,11,0
unknown,61,5,2
malicious,65,1,0
benign,56,10,1
benign,54,13,1
malicious,62,2,0
malicious,62,1,0
malicious,56,11,0
malicious,51,17,0
malicious,61,4,2
malicious,49,17,2
unknown,64,2,0
benign,57,12,0
malicious,58,9,2
malicious,62,3,3
malicious,64,1,1
malicious,64,3,2
malicious,59,8,0
malicious,0,0,0
unknown,0,0,0
malicious,55,12,0
malicious,58,9,0
malicious,64,2,0
malicious,64,1,0
malicious,66,0,0
unknown,63,0,0
benign,56,10,2
unknown,59,6,1
unknown,0,0,0
malicious,62,3,0
malicious,0,0,0
benign,58,10,1
malicious,65,3,0
malicious,58,11,0
benign,57,9,1
malicious,55,12,2
malicious,62,6,1
benign,58,10,2
malicious,54,15,1
benign,56,11,0
malicious,58,8,0
malicious,66,1,0
malicious,0,0,0
malicious,60,9,0
unknown,60,6,2
benign,56,11,1
unknown,0,0,0
malicious,62,6,0
benign,61,6,2
unknown,57,9,2
malicious,65,5,0
benign,61,5,0
benign,56,11,1
malicious,0,0,0
malicious,64,2,0
unknown,0,0,0
malicious,58,7,2
benign,63,2,1
benign,58,9,0
malicious,62,2,0
malicious,56,9,1
malicious,62,2,0
malicious,58,11,0
unknown,0,0,0
malicious,0,0,0
unknown,62,4,1
benign,61,6,0
benign,56,10,0
benign,60,6,0
malicious,58,8,0
unknown,0,0,0
malicious,61,5,0
unknown,0,0,0
unknown,59,5,1
malicious,0,0,0
malicious,54,14,1
malicious,62,4,1
malicious,59,7,1
malicious,59,10,1
malicious,0,0,0
malicious,62,4,0
malicious,61,8,1
unknown,0,0,0
unknown,60,6,0
unknown,0,0,0
malicious,62,5,1
benign,63,4,1
benign,61,6,0
benign,56,10,1
malicious,60,5,0
malicious,57,13,0
unknown,0,0,0
benign,59,6,1
malicious,59,8,0
malicious,54,14,1
malicious,62,3,0
malicious,55,11,2
benign,56,10,1
benign,57,9,1
malicious,65,1,0
benign,59,8,1
malicious,52,16,1
malicious,57,11,0
unknown,0,0,0
benign,55,11,1
malicious,0,0,0
benign,56,13,0
unknown,59,8,0
benign,63,5,1
malicious,59,10,0
malicious,54,15,1
malicious,56,9,2
benign,57,11,0
malicious,0,0,0
benign,54,12,0
malicious,58,9,2
unknown,56,11,1
unknown,63,2,0
malicious,0,0,0
malicious,55,14,1
unknown,56,10,0
benign,51,15,1
benign,61,6,0
malicious,0,0,0
benign,56,12,1
benign,58,8,1
unknown,61,5,1
benign,56,12,0
benign,55,12,1
unknown,0,0,0
benign,53,13,1
malicious,62,2,0
benign,63,5,1
benign,56,11,0
benign,57,11,1
malicious,56,13,0
benign,63,5,2
malicious,55,11,1
malicious,55,15,1
unknown,63,2,0
malicious,57,13,0
unknown,66,1,0
benign,58,8,1
malicious,63,1,0
malicious,62,4,1
unknown,64,1,0
malicious,56,12,0
benign,57,11,2
malicious,61,6,0
unknown,63,3,0
unknown,61,0,0
benign,57,11,1
malicious,49,20,0
benign,53,15,1
benign,61,6,1
malicious,61,2,3
benign,56,9,1
benign,54,14,1
benign,56,12,1
malicious,64,1,0
unknown,63,2,0
unknown,0,0,0
benign,52,16,1
malicious,62,1,0
benign,56,10,1
unknown,0,0,0
unknown,0,0,0
malicious,59,9,1
benign,55,12,0
benign,57,12,0
malicious,56,9,2
unknown,0,0,0
unknown,0,0,0
unknown,63,3,1
malicious,60,4,0
benign,60,6,0
malicious,57,9,1
malicious,60,6,2
malicious,63,1,0
malicious,62,2,0
benign,57,12,0
malicious,0,0,0
malicious,59,8,1
malicious,58,9,0
benign,53,12,1
malicious,62,1,0
unknown,62,2,0
unknown,55,0,0
malicious,63,2,0
benign,54,13,1
malicious,60,6,0
malicious,61,5,0
unknown,63,0,2
unknown,0,0,0
malicious,0,0,0
unknown,0,0,0
malicious,56,0,0
unknown,57,12,0
unknown,0,0,0
malicious,0,0,0
malicious,61,5,2
malicious,60,5,2
benign,56,12,1
malicious,0,0,0
malicious,57,7,1
malicious,63,1,0
malicious,61,6,1
malicious,62,6,1
malicious,0,0,0
malicious,57,10,1
malicious,62,2,0
malicious,65,0,1
benign,56,11,0
malicious,58,7,2
malicious,55,14,1
benign,62,4,0
benign,58,10,0
malicious,59,6,0
benign,54,13,1
benign,55,13,0
benign,59,9,1
malicious,65,0,1
benign,56,12,0
unknown,0,0,0
unknown,64,2,2
malicious,62,2,0
malicious,60,8,0
malicious,62,3,2
malicious,60,6,1
malicious,65,3,1
malicious,62,3,0
malicious,61,2,0
benign,55,11,1
malicious,63,3,0
benign,55,11,1
malicious,62,4,2
malicious,65,0,0
malicious,62,2,0
malicious,64,2,1
benign,57,12,0
malicious,65,0,0
malicious,57,11,1
malicious,0,0,0
malicious,55,13,1
unknown,62,5,2
benign,55,11,1
malicious,59,7,0
malicious,64,1,0
malicious,62,3,0
malicious,53,16,1
unknown,59,5,4
malicious,63,4,1
unknown,57,10,0
malicious,0,0,0
unknown,59,6,0
malicious,0,0,0
benign,56,10,1
malicious,56,14,0
unknown,0,0,0
malicious,53,16,2
benign,56,12,0
unknown,0,0,0
benign,59,9,0
malicious,56,11,0
benign,53,13,2
unknown,0,0,0
benign,54,12,0
benign,56,10,0
malicious,62,1,0
malicious,62,4,2
benign,57,12,0
benign,61,6,0
malicious,56,12,1
malicious,59,8,1
benign,55,11,0
benign,59,8,0
benign,56,12,1
benign,54,13,0
malicious,65,2,0
benign,55,11,2
malicious,61,6,0
benign,57,12,1
benign,57,9,0
benign,55,11,0
benign,66,1,0
malicious,58,8,1
malicious,56,9,1
benign,53,14,1
benign,56,11,1
benign,57,12,1
unknown,64,2,0
malicious,65,1,0
benign,54,11,1
benign,59,7,2
benign,54,12,1
unknown,0,0,0
benign,58,9,0
malicious,53,14,1
malicious,57,10,2
malicious,62,6,0
benign,58,8,1
unknown,66,1,0
benign,57,12,0
benign,59,9,0
benign,53,16,1
malicious,64,1,1
malicious,63,2,0
benign,58,8,0
malicious,61,6,0
malicious,62,3,0
unknown,60,4,1
malicious,57,12,0
benign,57,12,1
malicious,59,8,0
malicious,0,0,0
malicious,62,6,0
malicious,63,4,0
benign,55,13,1
benign,63,5,1
benign,56,11,0
unknown,0,0,0
unknown,61,3,1
benign,57,9,2
malicious,0,0,0
malicious,53,14,2
malicious,62,4,1
malicious,54,14,0
benign,53,13,1
benign,55,13,0
malicious,61,6,0
malicious,59,7,0
benign,55,11,2
malicious,65,1,0
malicious,0,0,0
benign,60,8,0
benign,61,5,0
benign,59,7,1
benign,55,13,1
unknown,61,4,1
malicious,64,2,0
malicious,53,17,2
benign,57,12,0
benign,57,9,0
unknown,63,1,0
benign,60,5,1
unknown,63,0,0
malicious,64,2,0
benign,57,13,1
benign,54,12,2
malicious,62,1,0
benign,62,6,1
benign,60,8,1
malicious,63,3,1
malicious,62,4,0
benign,60,5,1
benign,52,15,1
malicious,53,14,1
benign,61,5,1
unknown,59,9,0
benign,55,12,1
malicious,61,6,0
malicious,57,11,1
unknown,0,0,0
benign,58,8,1
benign,55,11,1
malicious,0,0,0
malicious,62,4,1
malicious,60,6,0
malicious,56,12,0
benign,55,11,0
benign,55,12,0
malicious,0,0,0
benign,57,12,0
malicious,56,11,0
malicious,62,4,1
malicious,60,8,0
malicious,55,12,1
unknown,0,0,0
benign,58,6,0
malicious,60,6,0
malicious,0,0,0
malicious,0,0,0
malicious,64,0,0
malicious,64,1,0
benign,58,12,0
benign,54,14,1
malicious,63,5,0
malicious,57,12,1
malicious,58,10,0
malicious,55,13,0
benign,59,6,2
benign,57,10,1
benign,61,5,0
malicious,58,8,1
benign,53,12,0
benign,59,8,0
unknown,0,0,0
malicious,64,2,0
unknown,0,0,0
malicious,56,10,1
malicious,64,1,0
benign,57,11,0
unknown,63,2,0
malicious,59,6,1
benign,56,12,0
malicious,62,6,0
malicious,59,9,0
malicious,63,2,1
malicious,57,9,1
malicious,58,9,1
malicious,0,0,0
malicious,57,9,0
malicious,58,6,0
unknown,0,0,0
benign,60,7,1
benign,58,10,1
malicious,0,0,0
unknown,55,0,0
malicious,63,5,0
malicious,0,0,0
benign,56,10,1
benign,53,13,1
unknown,0,0,0
unknown,64,1,1
malicious,58,8,2
unknown,60,10,2
benign,59,6,0
unknown,58,7,1
malicious,59,5,2
malicious,0,0,0
benign,59,6,3
malicious,58,9,0
benign,58,10,0
benign,58,8,0
benign,55,12,0
malicious,0,0,0
unknown,0,0,0
malicious,57,13,1
malicious,61,8,0
benign,56,12,1
malicious,54,13,2
malicious,60,6,0
malicious,61,3,3
benign,55,13,0
benign,59,9,1
malicious,61,3,2
malicious,59,9,1
malicious,63,3,1
malicious,63,1,1
benign,58,8,0
malicious,60,6,0
malicious,63,3,2
unknown,60,5,0
unknown,64,2,0
benign,58,10,1
malicious,56,10,1
benign,54,13,1
malicious,59,6,1
benign,60,6,3
malicious,57,13,0
benign,64,3,1
benign,60,6,0
malicious,53,15,0
malicious,55,13,1
malicious,58,8,0
benign,58,10,0
malicious,55,13,0
malicious,63,2,1
benign,61,6,0
malicious,57,11,0
malicious,64,5,1
malicious,60,8,0
malicious,65,2,1
malicious,0,0,0
benign,51,16,2
unknown,0,0,0
malicious,54,16,0
malicious,61,4,0
benign,58,9,0
malicious,55,13,0
malicious,64,1,1
malicious,59,9,0
benign,54,12,1
malicious,64,2,0
benign,59,7,0
malicious,0,0,0
malicious,61,4,1
benign,59,6,0
malicious,58,8,2
malicious,65,0,1
malicious,61,7,1
malicious,56,11,1
malicious,63,1,0
malicious,65,1,0
benign,57,11,0
malicious,54,13,2
benign,63,5,0
malicious,62,5,1
benign,62,5,0
malicious,62,2,0
unknown,0,0,0
malicious,65,0,1
malicious,0,0,0
benign,61,6,1
malicious,53,13,0
malicious,62,2,0
benign,62,5,0
unknown,0,0,0
benign,55,12,1
malicious,0,0,0
unknown,67,0,0
malicious,59,7,0
malicious,64,1,0
benign,57,8,2
malicious,56,12,0
unknown,0,0,0
malicious,62,1,0
malicious,60,7,2
benign,0,0,0
malicious,64,2,0
benign,59,5,0
malicious,0,0,0
malicious,55,10,1
malicious,62,2,0
malicious,59,6,0
benign,65,4,0
unknown,0,0,0
malicious,61,5,2
benign,56,11,0
malicious,60,7,0
malicious,60,6,2
benign,62,5,1
benign,59,8,1
malicious,62,4,1
malicious,62,1,0
benign,63,3,1
benign,58,9,0
malicious,58,9,0
malicious,64,0,0
malicious,60,8,0
malicious,62,5,0
malicious,61,6,0
unknown,0,0,0
benign,54,13,0
benign,60,9,0
benign,61,9,1
unknown,0,0,0
benign,58,9,0
malicious,0,0,0
malicious,57,9,2
benign,60,9,0
malicious,58,12,1
benign,56,10,0
malicious,60,6,1
unknown,0,0,0
malicious,52,17,1
malicious,65,0,1
unknown,0,0,0
malicious,54,12,1
unknown,0,0,0
malicious,60,8,0
unknown,63,1,0
malicious,62,5,1
malicious,56,12,1
malicious,62,6,1
benign,58,10,0
malicious,55,13,0
unknown,60,8,0
benign,58,9,0
malicious,60,6,3
benign,52,16,1
malicious,0,0,0
malicious,63,5,0
malicious,54,11,2
benign,54,12,2
malicious,53,13,0
malicious,65,1,0
malicious,53,15,0
malicious,61,4,1
malicious,64,2,0
benign,56,13,0
benign,61,6,1
benign,62,5,0
malicious,59,8,0
benign,61,4,2
benign,57,12,0
malicious,56,11,0
malicious,0,0,0
RIOT,67,1,0
malicious,57,9,2
unknown,0,0,0
benign,59,9,0
benign,54,13,0
malicious,56,13,0
malicious,63,1,0
malicious,0,0,0
unknown,0,0,0
benign,56,9,0
malicious,55,11,0
malicious,64,2,0
malicious,0,0,0
benign,56,11,0
malicious,60,8,0
benign,53,12,2
malicious,63,1,1
malicious,61,8,0
malicious,55,14,3
malicious,57,11,0
malicious,64,2,0
unknown,64,1,0
malicious,55,12,2
malicious,56,12,1
benign,54,12,1
malicious,62,4,1
malicious,0,0,0
benign,56,9,1
benign,53,13,1
unknown,62,4,1
unknown,58,8,0
unknown,0,0,0
unknown,0,0,0
malicious,55,14,1
malicious,64,2,0
benign,58,9,0
malicious,57,11,0
benign,56,12,0
benign,64,3,0
malicious,0,0,0
malicious,64,1,1
benign,61,6,0
malicious,0,0,0
benign,62,6,1
benign,56,12,0
benign,66,4,1
benign,55,14,0
malicious,0,0,0
malicious,57,9,0
benign,59,9,0
malicious,60,10,1
malicious,61,5,2
malicious,56,10,1
malicious,62,6,2
malicious,64,1,1
malicious,0,0,0
benign,53,13,2
benign,56,11,1
benign,63,6,0
benign,55,12,1
benign,55,12,0
unknown,0,0,0
malicious,64,2,0
malicious,58,11,0
malicious,60,5,2
malicious,62,2,1
benign,53,14,0
malicious,64,1,1
unknown,0,0,0
unknown,0,0,0
malicious,57,9,0
unknown,0,0,0
malicious,65,1,0
malicious,0,0,0
benign,55,13,1
malicious,53,14,2
malicious,63,4,1
malicious,60,4,3
benign,61,5,0
malicious,58,11,0
unknown,0,0,0
malicious,59,6,1
benign,57,9,0
malicious,63,3,0
benign,55,12,0
malicious,55,13,2
unknown,0,0,0
unknown,0,0,0
unknown,57,12,0
unknown,65,0,1
malicious,62,5,1
benign,58,12,0
malicious,61,6,0
unknown,0,0,0
malicious,63,2,0
benign,61,8,1
malicious,64,1,1
benign,53,12,3
benign,53,13,1
benign,54,12,0
benign,56,9,1
malicious,60,5,0
malicious,64,1,0
benign,58,6,0
malicious,56,10,0
malicious,62,2,0
